HEIGHT,DIAMETER,ELEVATION,CANOPYHEIGHT
1.7,1.1,990,15.7
6.9,11.4,990,16.71016044
8,14.2,990,12
7.5,8.5,990,12
5.7,8,990,10.1
8.1,10.3,990,11.2
10.1,15,990,10.1
9.1,10.9,990,13.7
9.7,11.2,990,16.71016044
10.4,16.3,990,16.71016044
3.7,4.7,990,16.71016044
4.3,4.7,990,10.1
3.3,4.5,990,13.7
4.3,5.5,990,12.1
3.8,4.9,990,12.1
5.1,5.8,990,12.1
5.6,6.7,990,12.1
3.3,4.7,990,12.1
5.2,5.2,990,12.1
5.2,5.4,990,13.7
3.1,3.3,990,13.7
4.3,6.4,1030,16
7.5,8.8,1030,12.5
6.7,7.5,1030,16
5.2,7.5,1030,15
5,6.1,1030,16
4.7,8.7,1030,12.5
6.3,8.2,1030,16
8.5,12.5,1030,16
15,25.4,1030,16
5.7,11.9,1030,16
8.9,9.3,1030,16
11.4,18.5,1030,15
3.8,6.8,1030,15
10.1,13.1,1030,14.9
12.5,26.4,1030,16
6.6,7.8,1030,16
5.5,7,1030,16
4,5.5,1030,16
8.1,19.3,1030,11.6
2.1,2.6,1030,11.6
2.1,1.6,1030,11.6
3.8,4.7,1030,12
2.7,2.8,1030,12
3.2,3.9,1030,12
4.8,7.8,1030,15.3
5.1,7.6,1030,11.6
6.5,8.7,1030,11.6
4.9,5.3,1030,15.3
1.7,1,1030,15.3
5.5,7.1,1030,15.3
3.6,3.2,1030,7.8
3.5,3.5,1030,11.2
3.7,3.8,1030,11.2
5.6,8.1,1030,11.2
2,1.4,1030,16.1
5.3,5,1030,11.2
4.4,4.2,1030,11.2
4.1,4.8,1030,7.8
1.9,1.5,1030,16.1
3.3,2.7,1030,15.3
2.7,2.5,1030,15.3
4.1,6,1030,15.3
10.7,13.8,1030,11.6
11.2,20.9,1030,11.6
5.7,6.5,1030,16.1
3.3,3,1030,16.1
5.7,6.8,1030,16.1
2.9,4.4,1030,8.5
4,3.7,1030,16.1
3.4,3.5,1030,16.1
2.8,2.3,1030,16.1
2.1,1.8,1030,16.1
